number,name,type,type_label,runs_days,source_code,source,dest_code,destination,distance_km,travel_time,num_stops
12421,NED ASR SF EXP,SUF,Superfast,Wed,NED,NANDED,ASR,AMRITSAR,1929,31:30,25
22925,OKHA VANDEBHARAT,VNDB,Vande Bharat,"Mon,Wed,Thu,Fri,Sat,Sun",SBT,SABARMATI JN,OKHA,OKHA,493,07:05,10
12422,ASR NED SF EXP,SUF,Superfast,Mon,ASR,AMRITSAR,NED,NANDED,1929,31:10,25
22930,BRC DRD SFAST,SUF,Superfast,Daily,BRC,VADODARA JN,DRD,DAHANU ROAD,272,04:50,16
12423,RAJDHANI EXP,RAJ,Rajdhani,Daily,DBRG,DIBRUGARH,NDLS,NEW DELHI,2432,37:55,25
22948,BGP SURAT EXP,SUF,Superfast,"Mon,Thu",BGP,BHAGALPUR,ST,SURAT,1817,33:02,37
12432,TVC RAJDHANI,RAJ,Rajdhani,"Tue,Wed,Sun",NZM,HAZRAT NIZAMUDDIN JN,TVC,THIRUVANANTHAPURAM CENTRAL,2843,43:34,22
22961,VANDE BHARAT EXP,VNDB,Vande Bharat,"Mon,Tue,Wed,Thu,Fri,Sat",MMCT,MUMBAI CENTRAL,ADI,AHMEDABAD JN,491,05:30,6
12433,MAS NZM RAJDHANI,RAJ,Rajdhani,"Fri,Sun",MAS,PURATCHI THALAIVAR DR. MGR CTL,NZM,HAZRAT NIZAMUDDIN JN,2169,28:25,10
22965,BDTS BGKT EXP,SUF,Superfast,Fri,BDTS,BANDRA TERMINUS,BGKT,BHAGAT KI KOTHI,932,15:30,11
12434,NZM MAS RAJDHANI,RAJ,Rajdhani,"Wed,Fri",NZM,HAZRAT NIZAMUDDIN JN,MAS,PURATCHI THALAIVAR DR. MGR CTL,2169,29:15,10
26401,VANDE BHARAT EXP,VNDB,Vande Bharat,"Mon,Wed,Thu,Fri,Sat,Sun",JAT,JAMMUTAVI,SINA,SRI NAGAR,267,04:50,6
12438,SC RAJDHANI,RAJ,Rajdhani,Sun,NZM,HAZRAT NIZAMUDDIN JN,SC,SECUNDERABAD JN,1664,22:05,7
26403,VANDE BHARAT EXP,VNDB,Vande Bharat,"Mon,Tue,Thu,Fri,Sat,Sun",JAT,JAMMUTAVI,SINA,SRI NAGAR,267,04:45,5
12442,BSP RAJDHNI EXP,RAJ,Rajdhani,"Tue,Sat",NDLS,NEW DELHI,BSP,BILASPUR JN.,1505,20:35,10
26404,VANDE BHARAT EXP,VNDB,Vande Bharat,"Mon,Tue,Thu,Fri,Sat,Sun",SINA,SRI NAGAR,JAT,JAMMUTAVI,267,04:45,5
12445,UTTAR S KRANTI,SUF,Superfast,Daily,NDLS,NEW DELHI,SVDK,SHRI MATA VAISHNO DEVI KATRA,655,11:05,12
26405,VANDE BHARAT EXP,VNDB,Vande Bharat,"Mon,Tue,Wed,Thu,Fri,Sun",ASR,AMRITSAR,SVDK,SHRI MATA VAISHNO DEVI KATRA,284,05:05,6
12453,RNC NDLS RAJ EX,RAJ,Rajdhani,Sun,RNC,RANCHI,NDLS,NEW DELHI,1244,17:55,12
26406,VANDE BHARAT EXP,VNDB,Vande Bharat,"Mon,Tue,Wed,Thu,Fri,Sun",SVDK,SHRI MATA VAISHNO DEVI KATRA,ASR,AMRITSAR,284,05:00,6
12454,RNC RAJDHANI,RAJ,Rajdhani,Sat,NDLS,NEW DELHI,RNC,RANCHI,1245,17:35,12
26504,VANDE BHARAT EXP,VNDB,Vande Bharat,"Tue,Wed,Thu,Fri,Sat,Sun",GTNR,GOMTI NAGAR,SRE,SAHARANPUR JN.,534,08:40,9
12471,SWARAJ EXPRESS,SUF,Superfast,"Mon,Thu,Fri,Sun",BDTS,BANDRA TERMINUS,SVDK,SHRI MATA VAISHNO DEVI KATRA,2024,30:50,31
26901,VRL VANDEBHARAT,VNDB,Vande Bharat,"Mon,Tue,Wed,Fri,Sat,Sun",SBIB,SABARMATI BG,VRL,VERAVAL,453,06:55,10
12484,ASR TVCN SF EXP,SUF,Superfast,Sun,ASR,AMRITSAR,TVCN,THIRUVANANTHAPURAM NORTH,3291,56:35,28
26963,UDZ ASV VB EXP,VNDB,Vande Bharat,"Mon,Wed,Thu,Fri,Sat,Sun",UDZ,UDAIPUR CITY,ASV,ASARVA JN,298,04:15,6
12486,SGNR NED EXP,SUF,Superfast,"Tue,Sat",SGNR,SHRI GANGANAGAR,NED,NANDED,1954,31:10,29
26964,ASV UDZ VB EXP,VNDB,Vande Bharat,"Mon,Wed,Thu,Fri,Sat,Sun",ASV,ASARVA JN,UDZ,UDAIPUR CITY,298,04:15,6
12534,PUSHPAK EXPRESS,SUF,Superfast,Daily,CSMT,C SHIVAJI MAH T,GTNR,GOMTI NAGAR,1435,23:35,18
27575,VANDE BHARAT SL,VNDS,Vande Bharat Sleeper,"Mon,Tue,Wed,Fri,Sat,Sun",HWH,HOWRAH JN,KYQ,KAMAKHYA,971,14:00,15
12556,GORAKHDHAM EXP,SUF,Superfast,Daily,BTI,BATHINDA,GKP,GORAKHPUR JN,1123,19:45,22
27576,VANDE BHARAT SL,VNDS,Vande Bharat Sleeper,"Mon,Tue,Thu,Fri,Sat,Sun",KYQ,KAMAKHYA,HWH,HOWRAH JN,971,14:00,15
12584,LJN DOUBLE DKR,SUF,Superfast,"Tue,Thu,Fri,Sun",ANVT,ANAND VIHAR TERMINAL,LJN,LUCKNOW,479,08:20,5
12592,GORAKHPUR EXP,SUF,Superfast,Mon,YPR,YESVANTPUR JN.,GKP,GORAKHPUR JN,2509,45:40,37
12615,GRAND TRUNK EXP,SUF,Superfast,Daily,MAS,PURATCHI THALAIVAR DR. MGR CTL,NDLS,NEW DELHI,2177,34:55,39
12651,NZM S KRANTI EXP,SUF,Superfast,"Tue,Sun",MDU,MADURAI JN,NZM,HAZRAT NIZAMUDDIN JN,2671,41:30,15
12657,MAS SBC SF MAIL,SUF,Superfast,Daily,MAS,PURATCHI THALAIVAR DR. MGR CTL,SBC,KSR BENGALURU,354,05:45,8
12686,MAQ MAS SF EXP,SUF,Superfast,Daily,MAQ,MANGALORE CENTRAL,MAS,PURATCHI THALAIVAR DR. MGR CTL,889,15:10,21
